ad,92
ae,446
af,88749
ag,183
ai,42
al,15123
am,2890
an,269
ao,19560
ar,8738
at,14788
au,10941
aw,115
az,11223
ba,15999
bb,536
bd,26414
be,16218
bf,10468
bg,20106
bh,343
bi,2054
bj,4390
bm,22
bn,334
bo,15900
br,43204
bs,501
bt,284
bw,543
by,15310
bz,560
ca,5521
cc,1
cd,23013
cf,5727
cg,6399
ch,3606
ci,14279
ck,56
cl,4446
cm,9862
cn,238985
co,27326
cr,2554
cu,9485
cv,319
cx,6
cy,2800
cz,21682
de,70477
dj,91
dk,8652
dm,127
do,10359
dz,9984
ec,8305
ee,9377
eg,13924
eh,78
er,1221
es,31496
et,13140
fi,13588
fj,1576
fk,91
fm,869
fo,430
fr,66362
ga,3924
gb,17708
gd,317
ge,7533
gf,760
gg,265
gh,14893
gi,8
gl,587
gm,2505
gn,7781
gp,525
gq,2283
gr,23263
gs,2
gt,6996
gw,4908
gy,626
hk,1261
hn,12249
hr,12105
ht,10644
hu,18623
id,176546
ie,9180
il,3735
im,45
in,39813
iq,17343
ir,123872
is,592
it,20606
je,53
jm,2661
jo,2031
jp,17849
ke,2910
kg,1580
kh,14447
ki,165
km,564
kn,187
kp,29358
kr,44601
kw,283
ky,73
kz,14745
la,16477
lb,6782
lc,211
li,42
lk,18214
lr,8481
ls,439
lt,17341
lu,966
lv,9233
ly,1998
ma,28356
mc,7
md,5978
me,4066
mg,18423
mh,6
mk,3494
ml,12294
mm,33856
mn,6058
mo,18
mp,633
mq,804
mr,1110
ms,92
mt,583
mu,633
mv,29
mw,4856
mx,62116
my,26313
mz,21241
na,2270
nc,702
ne,8745
nf,1
ng,43763
ni,3215
nl,9013
no,12470
np,1067
nr,13
nu,16
nz,2644
om,2790
pa,6881
pe,26549
pf,362
pg,14131
ph,48233
pk,94247
pl,49666
pm,3
pn,1
ps,1569
pt,15299
pw,446
py,2505
qa,357
re,401
ro,28838
rs,14844
ru,215938
rw,1552
sa,4705
sb,3574
sc,21
sd,10944
se,27813
sg,441
sh,16
si,4901
sj,19
sk,6775
sl,5711
sm,8
sn,12132
so,6137
sr,728
st,236
sv,4779
sy,18486
sz,116
tc,21
td,10992
tf,1
tg,5148
th,56846
tj,3798
tk,4
tm,1820
tn,3852
to,138
tr,72451
tt,555
tv,14
tw,12454
tz,8004
ua,42775
ug,6061
us,141989
uy,1103
uz,5655
va,1
vc,85
ve,20719
vg,22
vi,22
vn,32943
vu,1395
wf,39
ws,326
ye,11747
yt,122
za,12693
zm,13027
zr,23012
zw,1341
